"Wining Team","Losing Team","Wining Score","Losing Score"
"Mississippi","Bradley",67,54
"Mississippi St","TN Martin",76,51
"Missouri KC","S Dakota St",64,57
"Morehead St","Southern Miss",61,46
"MTSU","Toledo",78,70
"Murray St","Alabama A&M",63,61
"N Dakota St","NC A&T",77,56
"N Illinois","Idaho",66,59
"Navy","Jacksonville",71,65
"Nebraska","Tennessee",82,71
"North Florida","St Francis NY",78,65
"Northern Iowa","North Dakota",97,51
"Northwestern","New Orleans",90,63
"Oakland","Abilene Chr",85,57
"Oral Roberts","Detroit",100,95
"Penn St","Bucknell",62,58
"Pittsburgh","Kent",85,76
"Purdue","Lehigh",77,55
"Robert Morris","MS Valley St",67,64
"S Illinois","Portland",80,79
"San Diego","Drexel",62,59
"Seton Hall","Georgia",69,62
"Siena","Loyola MD",90,82
"South Dakota","CS Sacramento",96,90
"Tennessee St","Kennesaw",56,49
"Texas St","McNeese St",70,67
"Texas Tech","Hawaii",82,74
"Towson","Coppin St",81,77
"UC Davis","Utah Valley",82,70
"UNC Asheville","Loyola-Chicago",59,48
"UNC Wilmington","ETSU",94,73
"UNLV","Prairie View",80,62
"UTEP","Colorado St",99,90
"VA Commonwealth","Old Dominion",76,67
"Virginia Tech","UAB",82,77
"Washington St","TX Southern",77,65
"WI Green Bay","E Illinois",81,72
"Wofford","Presbyterian",68,58
"Wyoming","Montana St",82,68
"Youngstown St","Niagara",88,70
"Alabama","Notre Dame",74,73
"Albany NY","Yale",88,54
"Arizona","Boise St",68,59
"Arizona St","Santa Barbara",70,68
"Colorado","N Colorado",82,52
"CS Sacramento","Pacific",79,71
"Dartmouth","Long Island",79,56
"Duke","Utah St",85,52
"Evansville","UC Irvine",75,56
"Holy Cross","Harvard",50,49
"Iowa","Wichita St",84,61
"Kansas St","S Carolina St",68,66
"Lafayette","Penn",92,86
"MA Lowell","Cornell",80,77
"Maine","Central Conn",81,74
"Marquette","Jackson St",80,61
"Mercer","W Michigan",68,65
"Michigan St","Providence",77,64
"Monmouth NJ","USC",83,73
"Navy","IPFW",75,53
"Oklahoma","Wisconsin",65,48
"Pepperdine","Montana",69,63
"Rhode Island","Rider",82,57
"San Francisco","Delaware St",67,47
"Santa Clara","Boston College",62,45
"SF Austin","Appalachian St",94,84
"SMU","Brown",77,69
"South Dakota","E Washington",77,71
"South Florida","Savannah St",67,57
"St Francis NY","Hartford",74,67
"St Mary's CA","CS Bakersfield",94,59
"Temple","Delaware",69,50
"Tennessee Tech","MS Valley St",101,64
"Tulane","Liberty",72,51
"UC Riverside","Lamar",74,69
"UCLA","CS Northridge",77,45
"UNC Greensboro","Jacksonville",71,69
"UT Arlington","Rice",92,74
"Vermont","Marist",86,60
"Xavier","Dayton",90,61
"C Michigan","McNeese St",74,73
"Campbell","VMI",66,65
"Col Charleston","LSU",70,58
"Elon","Kennesaw",103,93
"Grand Canyon","Hampton",63,51
"Houston","UTRGV",78,65
"Indiana","Alcorn St",112,70
"James Madison","Radford",70,68
"Kentucky","Illinois St",75,63
"Minnesota","Clemson",89,83
"NC A&T","N Kentucky",74,63
"New Hampshire","Bryant",75,67
"Norfolk St","Northern Arizona",70,66
"Northern Iowa","North Texas",93,70
"Oregon","Fresno St",78,73
"Princeton","F Dickinson",91,61
"South Carolina","W Carolina",76,53
"Stetson","Florida Intl",81,75
"ULM","Chattanooga",64,54
"Wake Forest","Rutgers",69,68
"WI Green Bay","Edwardsville",87,69
"Albany NY","Quinnipiac",58,54
"Ark Little Rock","Cent Arkansas",79,73
"Arkansas","Northwestern LA",117,78
"Ball St","IUPUI",61,58
"Belmont","Lipscomb",105,89
"Binghamton","Colgate",69,50
"California","Seattle",66,52
"Cornell","Siena",81,80
"Davidson","Charlotte",109,74
"Delaware","Bradley",70,47
"Duquesne","MS Valley St",91,77
"E Illinois","Indiana St",68,62
"E Michigan","NE Omaha",80,73
"E Washington","San Francisco",81,77
"East Carolina","FL Atlantic",74,48
"Evansville","Alabama St",88,56
"Florida","Richmond",76,56
"Georgetown","MD E Shore",68,49
"Georgia","Oakland",86,82
"Georgia Tech","Wofford",77,61
"Iona","Fairfield",101,77
"Iowa St","N Dakota St",84,64
"Kansas","Loyola MD",94,61
"Memphis","Louisiana Tech",94,68
"Miami FL","Nebraska",77,72
"Michigan","NC State",66,59
"Mississippi St","TX Southern",86,73
"Missouri","Arkansas St",88,78
"Missouri KC","TN Martin",74,70
"Montana St","Utah Valley",76,72
"Mt St Mary's","American Univ",81,56
"New Mexico","Oral Roberts",91,75
"North Carolina","Maryland",89,81
"Northwestern","Virginia Tech",81,79
"Ohio","Marshall",85,70
"Purdue","Pittsburgh",72,59
"Samford","Jacksonville St",77,71
"San Diego St","Long Beach St",76,72
"Texas","UT Arlington",80,73
"Troy","Southern Miss",69,59
"UAB","Georgia St",64,57
"Utah St","Missouri St",69,68
"Villanova","St Joseph's PA",86,72
"Virginia","Ohio St",64,58
"WKU","E Kentucky",86,84
"William & Mary","Old Dominion",55,48
"Air Force","Citadel",97,93
"Akron","Coppin St",77,71
"Arizona St","Creighton",79,77
"Army","Maine",84,71
"Auburn","Coastal Car",81,78
"Baylor","Prairie View",80,41
"Bowling Green","UMBC",72,64
"Brown","Central Conn",82,64
"Butler","Cincinnati",78,76
"Clemson","SC Upstate",76,56
"Columbia","Bucknell",72,61
"Connecticut","Sacred Heart",82,49
"DePaul","IL Chicago",82,55
"Duke","Indiana",94,74
"Fordham","St John's",73,57
"G Washington","Seton Hall",72,64
"Gardner Webb","Presbyterian",87,76
"Gonzaga","Washington St",69,60
"Hampton","Northern Arizona",98,94
"Hawaii","Ark Pine Bluff",75,47
"High Point","Longwood",90,66
"Hofstra","La Salle",84,80
"Houston","Murray St",93,78
"Houston Bap","Rice",77,73
"Idaho","CS Bakersfield",67,63
"Iowa","Florida St",78,75
"Kennesaw","Florida A&M",61,41
"Lamar","UTRGV",83,60
"LSU","North Florida",119,108
"Marquette","Grambling",95,49
"Massachusetts","Boston Univ",99,69
"Michigan St","Louisville",71,67
"Morehead St","St Louis",60,46
"N Illinois","Chicago St",80,58
"Navy","Penn",65,59
"NC A&T","UNC Greensboro",77,68
"New Mexico St","UTEP",73,59
"Northeastern","Harvard",80,71
"Notre Dame","Illinois",84,79
"Oregon St","Loy Marymount",79,70
"Penn St","Boston College",67,58
"Portland","Portland St",78,72
"Providence","Hartford",89,66
"Rhode Island","Holy Cross",74,56
"S Illinois","SE Missouri St",74,50
"Savannah St","Ga Southern",76,67
"SMU","TCU",75,70
"St Bonaventure","Buffalo",60,58
"St Francis NY","Lafayette",69,62
"St Francis PA","Lehigh",84,73
"St Peter's","Rider",73,61
"TAM C. Christi","Austin Peay",61,48
"Temple","F Dickinson",79,70
"Tennessee Tech","ETSU",63,61
"Texas A&M","FL Gulf Coast",75,65
"Texas St","UT San Antonio",76,53
"Texas Tech","Sam Houston St",71,56
"Toledo","Cleveland St",76,65
"Towson","George Mason",75,54
"Tulane","New Orleans",64,62
"Tulsa","Oklahoma St",66,56
"UC Davis","CS Sacramento",66,61
"UCF","Stetson",94,85
"Utah","BYU",83,75
"VA Commonwealth","MTSU",62,56
"Vanderbilt","Detroit",102,52
"Vermont","Dartmouth",68,63
"Wagner","Morgan St",62,61
"Winthrop","Charleston So",83,82
"Wisconsin","Syracuse",66,58
"Wyoming","Denver",68,52
"Yale","Bryant",79,40
"Youngstown St","Robert Morris",65,58
"Delaware","South Florida",67,58
"Grand Canyon","C Michigan",75,72
"IPFW","Cal Poly SLO",75,73
"James Madison","W Michigan",63,57
"Long Beach St","Colorado St",83,77
"Long Island","MA Lowell",84,72
"NC Central","MS Valley St",86,79
"New Hampshire","Abilene Chr",86,75
"Oklahoma","Cent Arkansas",111,68
"Radford","Liberty",56,52
"UC Riverside","N Colorado",77,66
"UCLA","Kentucky",87,77
"ULM","ULL",81,70
"USC","Santa Barbara",75,63
"UT Arlington","North Texas",90,67
"Valparaiso","Belmont",61,57
"WI Milwaukee","Edwardsville",64,51
"Akron","Marshall",75,65
"Alabama","Southern Miss",58,55
"American Univ","Youngstown St",60,56
"Canisius","Monmouth NJ",96,86
"CS Fullerton","Seattle",70,61
"East Carolina","SC Upstate",82,71
"Elon","Florida Intl",77,71
"Fairfield","Rider",74,70
"Georgia St","Wright St",59,46
"Iona","Marist",101,66
"Kansas St","Georgia",68,66
"Louisiana Tech","Jackson St",95,88
"Maryland","St Francis PA",96,55
"Missouri","N Illinois",78,71
"Montana","San Francisco",82,50
"N Dakota St","Arkansas St",74,73
"Niagara","Quinnipiac",76,72
"Old Dominion","Delaware St",82,38
"Pittsburgh","Duquesne",96,75
"Siena","Manhattan",89,54
"Southern Univ","SE Louisiana",73,69
"St Joseph's PA","Columbia",80,78
"St Mary's CA","UC Davis",81,67
"Texas","Samford",59,49
"UC Irvine","Pacific",70,67
"UNLV","Oregon",80,69
"Wake Forest","Arkansas",88,85
"Air Force","Denver",61,59
"Albany NY","Holy Cross",88,84
"Arizona","Gonzaga",68,63
"Arizona St","Texas A&M",67,54
"Ark Little Rock","Idaho",64,54
"Austin Peay","Troy",80,71
"Ball St","New Orleans",66,52
"Boise St","Portland",81,71
"Bowling Green","Drake",75,63
"Brown","Bryant",76,68
"Butler","Indiana St",85,71
"BYU","Weber St",73,68
"Cal Poly SLO","Fresno St",77,65
"California","Wyoming",78,72
"Charleston So","Liberty",68,61
"Col Charleston","Citadel",82,74
"Cornell","Lafayette",85,67
"CS Bakersfield","Northern Arizona",72,55
"Dartmouth","Hartford",74,65
"Dayton","North Florida",86,71
"DePaul","Chicago St",96,72
"Detroit","Northeastern",76,73
"Drexel","La Salle",66,53
"Duke","Buffalo",82,59
"E Illinois","N Kentucky",79,73
"E Kentucky","Savannah St",74,71
"Evansville","Murray St",85,81
"Fordham","Central Conn",86,54
"George Mason","Penn",63,44
"Georgetown","Syracuse",79,72
"Georgia Tech","Tulane",76,68
"Hampton","Coppin St",74,71
"High Point","Gardner Webb",66,64
"Illinois","W Carolina",80,68
"Indiana","Morehead St",92,59
"Iowa","Missouri KC",95,75
"IUPUI","Miami OH",78,64
"Jacksonville","Jacksonville St",86,82
"Kansas","Harvard",75,69
"Kent","Cleveland St",66,62
"Lamar","Idaho St",82,70
"Long Beach St","New Mexico St",67,53
"Louisville","Grand Canyon",111,63
"Loyola-Chicago","Creighton",68,65
"Marquette","Maine",104,67
"Memphis","SE Missouri St",80,65
"Mercer","Alcorn St",68,43
"Miami FL","Charlotte",88,60
"Michigan","Houston Bap",82,57
"Michigan St","Binghamton",76,33
"Mississippi","Massachusetts",74,64
"Missouri St","Oklahoma St",64,63
"Mt St Mary's","Loyola MD",85,68
"MTSU","South Alabama",68,55
"NC A&T","Howard",66,63
"NC Central","MD E Shore",70,59
"NC State","Bucknell",99,86
"Nebraska","Abilene Chr",73,63
"NJIT","MA Lowell",90,77
"North Dakota","Bradley",65,59
"Northwestern","Edwardsville",81,56
"Oakland","Robert Morris",92,74
"Ohio St","VMI",89,62
"Oral Roberts","Tulsa",70,68
"Oregon St","Nevada",66,62
"Penn St","E Michigan",81,70
"Pepperdine","CS Northridge",70,55
"Providence","Rhode Island",74,72
"Purdue","New Mexico",70,58
"Richmond","Northern Iowa",82,67
"S Carolina St","Florida A&M",79,67
"S Illinois","North Texas",95,63
"San Diego","San Diego St",53,48
"Santa Clara","San Jose St",78,75
"Seton Hall","Rutgers",84,55
"SF Austin","TX Southern",66,62
"SMU","New Hampshire",98,44
"South Carolina","South Florida",81,63
"South Dakota","Minnesota",85,81
"Southern Utah","Utah Valley",68,54
"St Bonaventure","Ohio",81,68
"Stony Brook","Princeton",91,77
"TAM C. Christi","Texas St",47,39
"TCU","Colgate",76,49
"Tennessee St","Stetson",74,54
"Tennessee Tech","Lipscomb",81,78
"Towson","Sacred Heart",83,61
"UAB","Illinois St",74,61
"UCF","IL Chicago",88,58
"UMBC","Longwood",70,59
"UT Arlington","UTEP",76,62
"Utah","IPFW",96,79
"Virginia","William & Mary",67,52
"Virginia Tech","Ark Pine Bluff",80,45
"West Virginia","Kennesaw",87,54
"Wichita St","St Louis",68,53
"Winthrop","Presbyterian",74,70
"Wisconsin","Temple",76,60
"Xavier","WKU",95,64
"Yale","Vermont",72,54
"Baylor","Vanderbilt",69,67
"Cincinnati","Morgan St",87,66
"Clemson","Wofford",66,51
"Coastal Car","Radford",63,58
"Colorado","Colorado St",88,77
"Columbia","Delaware",82,69
"FL Gulf Coast","Florida Intl",84,76
"Florida St","VA Commonwealth",76,71
"Hofstra","Appalachian St",86,80
"James Madison","Marshall",107,84
"Loy Marymount","UC Riverside",77,76
"MA Lowell","Boston College",68,66
"Marist","Manhattan",75,70
"Monmouth NJ","Niagara",56,42
"NE Omaha","Montana St",100,97
"North Carolina","Davidson",98,65
"Pittsburgh","Cent Arkansas",100,47
"Quinnipiac","Canisius",78,76
"Seattle","MS Valley St",84,72
"Southern Miss","N Dakota St",74,62
"St John's","St Francis NY",63,56
"St Mary's CA","UC Irvine",70,60
"St Peter's","Siena",72,68
"Toledo","WI Green Bay",71,69
"UCLA","Long Beach St",83,76
"Wagner","American Univ",55,48
"Washington","CS Fullerton",87,69
"Washington St","Portland St",91,67
"Belmont","Lipscomb",93,84
"Bethune-Cookman","S Carolina St",69,54
"Butler","VMI",93,66
"Col Charleston","East Carolina",77,73
"CS Sacramento","Incarnate Word",73,70
"Georgetown","Brown",74,57
"Howard","NC Central",71,69
"Iowa","W Illinois",90,56
"Iowa St","Buffalo",84,63
"Kent","NJIT",80,75
"NC A&T","MD E Shore",80,74
"Norfolk St","Coppin St",88,56
"Oakland","Binghamton",83,72
"Oklahoma","Villanova",78,55
"Oregon","Navy",67,47
"Purdue","IUPUI",80,53
"San Francisco","CS Northridge",65,61
"USC","Idaho",74,55
"W Michigan","Northeastern",87,86
"Arkansas","Evansville",89,76
"Army","Bryant",77,55
"Baylor","Northwestern LA",75,62
"Bowling Green","SE Missouri St",79,52
"Duquesne","UMBC",89,70
"Fordham","Long Island",89,84
"Furman","Liberty",79,56
"G Washington","Penn St",76,66
"Georgia","Winthrop",74,64
"Gonzaga","Montana",61,58
"Grand Canyon","Southern Univ",70,56
"Harvard","Boston Univ",75,69
"Idaho St","Portland",66,65
"Marquette","San Jose St",80,62
"Maryland","Connecticut",76,66
"Miami FL","Florida",66,55
"Mt St Mary's","Bucknell",81,73
"Northern Iowa","George Mason",73,65
"Notre Dame","Stony Brook",86,61
"Ohio St","Air Force",74,50
"Rhode Island","Houston",67,57
"Rutgers","Central Conn",75,59
"S Dakota St","Minnesota",84,70
"SMU","Michigan",82,58
"South Dakota","Missouri KC",79,70
"St Bonaventure","Vermont",80,68
"St Joseph's PA","Princeton",62,50
"Syracuse","Colgate",78,51
"Texas","UT San Antonio",116,50
"Towson","Loyola MD",65,54
"Tulsa","Iona",90,81
"UCF","Massachusetts",67,63
"UT Arlington","Bradley",97,61
"Virginia","West Virginia",70,54
"Wagner","Rider",65,64
"Washington","TCU",92,67
"Xavier","Wright St",90,55
"Albany NY","Marist",75,53
"Arizona","Fresno St",85,72
"Boise St","Loy Marymount",67,66
"BYU","Utah St",80,68
"California","Incarnate Word",74,62
"Campbell","Charlotte",76,70
"Columbia","Manhattan",72,71
"Creighton","Nebraska",83,67
"Dartmouth","Maine",79,69
"Davidson","E Washington",96,86
"Dayton","Vanderbilt",72,67
"Denver","San Diego",59,47
"DePaul","Drake",74,71
"Detroit","Toledo",75,72
"Edwardsville","S Illinois",76,74
"F Dickinson","Lafayette",91,89
"High Point","UNC Greensboro",90,72
"Illinois","Yale",69,65
"Indiana","IPFW",90,65
"Kansas","Holy Cross",92,59
"Kansas St","Coppin St",83,58
"Kentucky","E Kentucky",88,67
"Marshall","E Illinois",82,76
"Michigan St","MD E Shore",78,35
"Missouri","NE Omaha",85,78
"Pepperdine","Long Beach St",77,75
"Providence","Boston College",66,51
"Purdue","Howard",93,55
"Quinnipiac","Hartford",68,66
"Siena","Hofstra",81,68
"St John's","Niagara",48,44
"Temple","Penn",77,73
"Texas Tech","TN Martin",68,49
"ULL","McNeese St",97,64
"Utah Valley","Weber St",84,81
"Valparaiso","Indiana St",69,63
"Virginia Tech","Radford",74,65
"WI Milwaukee","Wisconsin",68,67
"Wichita St","UNLV",56,50
"Boston Univ","MA Lowell",80,60
"Idaho","Washington St",78,74
"Iowa St","Iowa",83,82
"Kent","ULM",73,62
"Missouri St","IUPUI",88,74
"NJIT","St Francis NY",92,86
"Penn St","Canisius",81,67
"San Diego St","Nicholls St",84,47
"Seton Hall","Troy",78,69
"Southern Univ","Wyoming",68,58
"N Dakota St","North Dakota",69,67
"Pittsburgh","E Washington",84,51
"TCU","Prairie View",73,55
"TN Martin","UTRGV",72,64
"Valparaiso","Chicago St",71,53
"Akron","Bethune-Cookman",81,60
"Ark Little Rock","DePaul",66,44
"Arkansas","Tennessee Tech",83,57
"Army","Air Force",90,80
"Boise St","Oregon",74,72
"Buffalo","Binghamton",80,64
"Butler","Tennessee",94,86
"C Michigan","TX Southern",79,71
"California","St Mary's CA",63,59
"Chattanooga","Dayton",61,59
"Colorado","BYU",92,83
"Columbia","NJIT",65,56
"Connecticut","Ohio St",75,55
"Creighton","IUPUI",90,65
"CS Bakersfield","South Dakota",77,67
"Davidson","W Carolina",87,54
"Delaware","Marist",70,69
"Detroit","Bowling Green",95,80
"Duquesne","St Francis PA",67,65
"Edwardsville","Portland St",74,64
"Evansville","MS Valley St",95,60
"Fresno St","Pacific",71,52
"G Washington","Rutgers",83,49
"Gardner Webb","Furman",73,53
"Georgetown","UNC Wilmington",87,82
"Georgia St","Old Dominion",68,64
"Holy Cross","Hartford",90,68
"Illinois","IL Chicago",83,79
"Indiana","McNeese St",105,60
"IPFW","Austin Peay",85,68
"James Madison","George Mason",69,46
"Kansas","Oregon St",82,67
"Kent","Canisius",84,77
"Kentucky","Arizona St",72,58
"Lafayette","Sacred Heart",90,86
"Lamar","Liberty",73,58
"Long Island","Niagara",80,79
"Louisiana Tech","ULL",91,79
"Louisville","E Michigan",86,53
"Loy Marymount","CS Fullerton",82,70
"Marquette","Wisconsin",57,55
"Marshall","E Kentucky",96,72
"Maryland","MD E Shore",77,56
"Memphis","Manhattan",89,57
"Michigan","Delaware St",80,33
"Michigan St","Florida",58,52
"Mississippi","SE Missouri St",75,64
"Missouri KC","Mississippi St",72,67
"MTSU","Auburn",88,81
"Navy","VMI",68,62
"Nevada","Drake",79,71
"New Mexico","Northern Iowa",76,57
"Northeastern","Stony Brook",75,62
"Oakland","Toledo",76,64
"Ohio","Cleveland St",76,67
"Oklahoma","Oral Roberts",96,73
"Oklahoma St","Minnesota",62,60
"Penn St","ULM",54,50
"Pepperdine","Ball St",72,63
"Portland","CS Sacramento",81,73
"Princeton","Lipscomb",78,64
"Providence","Bryant",74,67
"Purdue","Youngstown St",95,64
"Radford","Howard",92,91
"Richmond","Longwood",77,59
"Rider","Charleston So",82,72
"S Carolina St","Jacksonville",81,74
"S Illinois","North Texas",74,66
"Samford","Florida A&M",86,67
"Siena","Albany NY",78,70
"St Louis","Alabama A&M",75,58
"Stanford","Dartmouth",64,50
"TAM C. Christi","UT San Antonio",85,79
"Tennessee St","Grambling",64,52
"Texas","North Carolina",84,82
"Texas A&M","Kansas St",78,68
"UC Irvine","Utah St",73,63
"UCF","FL Atlantic",75,61
"UCLA","Gonzaga",71,66
"UMBC","Mt St Mary's",75,63
"UNLV","UC Riverside",73,62
"Utah Valley","Idaho St",100,76
"W Illinois","E Illinois",64,57
"Washington","Montana",92,62
"Wichita St","Utah",67,50
"Xavier","Cincinnati",65,55
"Alabama","Clemson",51,50
"Alabama St","Jacksonville St",63,60
"Arizona","Missouri",88,52
"Boston College","Maine",91,60
"Boston Univ","Quinnipiac",64,57
"Colgate","New Hampshire",75,59
"Denver","Weber St",69,68
"East Carolina","NC A&T",71,60
"FL Gulf Coast","Massachusetts",77,76
"Florida St","SE Louisiana",75,58
"Fordham","Coppin St",92,55
"Houston","LSU",105,98
"Illinois St","Murray St",63,61
"Iowa St","Ark Pine Bluff",78,64
"Miami OH","Wright St",72,67
"Monmouth NJ","Wagner",73,54
"Montana St","San Jose St",91,83
"N Colorado","Colorado St",73,64
"N Kentucky","Norfolk St",81,60
"NC State","South Florida",65,46
"NE Omaha","Grand Canyon",108,104
"Nebraska","Rhode Island",70,67
"Northwestern","Chicago St",77,35
"Notre Dame","Loyola-Chicago",81,61
"Pittsburgh","Morehead St",72,62
"S Dakota St","Santa Barbara",86,68
"Seton Hall","St Peter's",72,46
"St John's","Syracuse",84,72
"St Joseph's PA","Temple",66,65
"Texas St","UTRGV",68,59
"Tulsa","Missouri St",70,61
"UAB","Seattle",79,73
"UNC Asheville","Campbell",80,60
"USC","Yale",68,56
"Villanova","La Salle",76,47
"Virginia Tech","Lamar",88,53
"WKU","Indiana St",75,62
"Washington St","UTEP",84,68
"West Virginia","ULM",100,58
"Wyoming","New Mexico St",62,59
"Coastal Car","Wofford",71,63
"Columbia","Robert Morris",78,71
"CS Bakersfield","Dartmouth",69,62
"Hartford","Sacred Heart",80,71
"Manhattan","St Francis NY",71,60
"Marshall","NC Central",92,73
"North Florida","Florida Intl",94,72
"North Texas","Nicholls St",78,60
"SC Upstate","Navy",66,57
"Southern Miss","South Alabama",57,54
"St Mary's CA","Cal Poly SLO",93,63
"Tennessee St","Stetson",93,90
"Tulane","Prairie View",63,49
"W Carolina","E Washington",97,80
"Auburn","Mercer",78,71
"Chattanooga","Tennessee Tech",80,69
"Cincinnati","Norfolk St",75,59
"Clemson","Presbyterian",69,41
"Duke","Ga Southern",99,65
"E Kentucky","FL Atlantic",80,73
"Florida A&M","SE Louisiana",67,64
"Georgia Tech","VA Commonwealth",77,64
"Grand Canyon","Delaware St",88,59
"Houston Bap","UC Riverside",72,59
"Memphis","Southern Univ",72,67
"Miami OH","Jackson St",64,53
"Michigan","N Kentucky",77,62
"Mississippi","Louisiana Tech",99,80
"Monmouth NJ","Georgetown",83,68
"Northwestern","MS Valley St",78,48
"Oklahoma St","Longwood",73,55
"Oregon","UC Irvine",78,63
"San Diego","UC Davis",61,55
"Santa Clara","Ark Pine Bluff",69,57
"South Carolina","Drexel",79,54
"St Francis PA","Binghamton",67,61
"Stanford","DePaul",79,60
"Texas","Appalachian St",67,55
"UCLA","ULL",89,80
"UNC Asheville","ETSU",84,64
"Wake Forest","UNC Greensboro",81,71
"WI Green Bay","Pacific",93,88
"Wisconsin","TAM C. Christi",64,49
"Alabama","Winthrop",72,60
"Arizona","Northern Arizona",92,37
"Arizona St","UNLV",66,56
"Ark Little Rock","Cent Arkansas",77,54
"Citadel","Bethune-Cookman",99,87
"Cleveland St","Loyola-Chicago",60,54
"Denver","N Colorado",81,77
"Duquesne","S Carolina St",83,68
"East Carolina","UNC Wilmington",78,73
"Elon","Alabama St",91,74
"Florida St","Mississippi St",90,66
"Fresno St","CS Bakersfield",76,68
"Houston","NC Central",73,65
"Illinois St","IL Chicago",72,60
"Iona","TX Southern",83,73
"Louisville","Kennesaw",94,57
"LSU","Gardner Webb",78,57
"Massachusetts","New Orleans",103,95
"Minnesota","Chicago St",70,52
"Missouri St","Oral Roberts",85,66
"N Dakota St","Montana St",73,64
"NC State","High Point",76,73
"New Mexico","New Mexico St",79,61
"North Carolina","Tulane",96,72
"North Florida","Austin Peay",80,70
"Ohio St","N Illinois",67,54
"Richmond","Old Dominion",77,61
"SMU","Nicholls St",86,42
"South Florida","Jacksonville",88,75
"St Mary's CA","Southern Utah",92,36
"Tennessee","FL Atlantic",81,62
"Texas St","Prairie View",62,44
"Texas Tech","S Dakota St",79,67
"TN Martin","St Louis",82,76
"UAB","SC Upstate",96,54
"Utah","Savannah St",99,53
"Vermont","Santa Barbara",75,68
"WKU","Alabama A&M",79,70
"CS Northridge","Portland St",77,71
"Evansville","Norfolk St",84,70
"MTSU","Belmont",83,62
"NC A&T","Grambling",61,47
"North Texas","MS Valley St",87,74
"Ohio","Jackson St",72,67
"Princeton","Liberty",77,72
"Robert Morris","Lehigh",69,67
"SMU","Hampton",105,72
"South Dakota","WI Milwaukee",92,91
"Stony Brook","American Univ",86,68
"Tennessee St","Lipscomb",89,86
"USC","Cal Poly SLO",101,82
"West Virginia","Marshall",86,68
"Wright St","Charleston So",71,65
"BYU","C Michigan",98,85
"Central Conn","MA Lowell",83,79
"Chattanooga","Kennesaw",78,66
"Colorado","Nicholls St",85,68
"ETSU","E Kentucky",87,81
"F Dickinson","Towson",69,68
"Grand Canyon","San Diego St",52,45
"Incarnate Word","St John's",73,51
"Louisiana Tech","Southern Univ",83,76
"Loy Marymount","Jacksonville St",77,60
"Mississippi","Memphis",85,79
"Nevada","Santa Clara",72,69
"Old Dominion","MD E Shore",77,47
"Oregon","Long Beach St",94,73
"Oregon St","CS Fullerton",82,69
"Pepperdine","ULL",79,59
"S Illinois","Murray St",88,73
"Sam Houston St","Long Island",75,69
"San Francisco","Coppin St",96,93
"South Alabama","Samford",72,70
"South Carolina","Clemson",65,59
"Tennessee Tech","Miami OH",77,64
"TN Martin","Arkansas St",74,70
"UC Riverside","Abilene Chr",60,56
"Wagner","Fairfield",76,64
"Wake Forest","Coastal Car",83,77
"Washington St","Texas St",78,73
"Weber St","Portland",92,82
"Air Force","UC Davis",67,60
"Albany NY","St Francis PA",65,58
"Arizona","UNLV",82,70
"Arizona St","Houston Bap",98,79
"Boston College","Delaware",69,61
"Buffalo","Montana St",80,73
"Butler","Purdue",74,68
"California","Coppin St",84,51
"Campbell","Citadel",101,82
"Canisius","Boston Univ",84,68
"Charlotte","Appalachian St",82,66
"Chicago St","W Illinois",77,70
"Cincinnati","VA Commonwealth",69,63
"Cleveland St","Belmont",67,65
"Colorado","Hampton",95,53
"Dayton","Furman",70,50
"Detroit","UCF",95,89
"Duquesne","Robert Morris",72,65
"Elon","UNC Greensboro",79,69
"Florida","Oklahoma St",72,70
"Florida St","FL Atlantic",64,59
"Fordham","Maine",70,53
"G Washington","St Peter's",87,74
"George Mason","Longwood",75,70
"Georgia","Georgia Tech",75,61
"Georgia St","Southern Miss",66,46
"Gonzaga","Tennessee",86,79
"Houston","E Illinois",81,65
"Howard","UMBC",103,93
"Illinois","South Dakota",91,79
"Indiana","Notre Dame",80,73
"Indiana St","St Louis",76,68
"Iowa","Drake",70,64
"IPFW","Stetson",95,89
"IUPUI","Southern Utah",82,68
"Kansas","Montana",88,46
"Kansas St","Colorado St",61,56
"Lehigh","Mt St Mary's",76,73
"Louisville","WKU",78,56
"Loyola-Chicago","IL Chicago",64,47
"LSU","Oral Roberts",100,77
"Maryland","Princeton",82,61
"Mercer","Arkansas",69,66
"Miami FL","Col Charleston",85,63
"Michigan","Youngstown St",105,46
"Michigan St","Northeastern",78,58
"Mississippi St","Tulane",69,59
"N Illinois","Florida Intl",78,75
"N Kentucky","SE Missouri St",79,69
"NC State","Missouri",73,59
"New Hampshire","Dartmouth",76,56
"New Mexico St","UTEP",73,53
"North Carolina","UCLA",89,76
"North Florida","Florida A&M",87,70
"Northern Iowa","Iowa St",81,79
"Northwestern","DePaul",78,70
"Oakland","Washington",97,83
"Ohio St","Kentucky",74,67
"Oklahoma","Creighton",87,74
"Oregon St","Tulsa",76,71
"Penn St","Drexel",63,57
"Portland","CS Fullerton",65,60
"Providence","Rider",73,65
"Radford","UNC Wilmington",69,67
"Rhode Island","Iona",79,74
"Rice","New Mexico",90,89
"S Dakota St","FL Gulf Coast",56,52
"Seton Hall","Wichita St",80,76
"St Bonaventure","S Carolina St",64,45
"St Joseph's PA","Illinois St",79,65
"Syracuse","Cornell",67,46
"Temple","Delaware St",78,63
"Tennessee St","Alcorn St",81,76
"Texas","Stanford",75,73
"Texas A&M","Baylor",80,61
